P/bar	0°C	25°C	100°C	200°C	250°C
# Shi et al., 2013, dx.doi.org/10.1021/ie302190e
# brine
34.5	4.07
483	6.16
965	8.43
1448	11.33
34.5		1.44
483		2.91
965		4.96
1448		7.39
34.5			0.66
483			0.95
965			1.51
1448			2.67
34.5				0.17
483				0.24
965				0.38
1448				0.58
69					0.10
483					0.16
965					0.25
1448					0.40
